QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI	Coverage	
weka.core.pmml.jaxbbindings.FieldColumnPair	FieldColumnPair	low	low	low	low	0	5	0	1	0	6	24	12	3	0	5	0	0	0.833	0.3	0.8	0	0.0		
weka.core.pmml.jaxbbindings.FieldRef	FieldRef	low	low	low	low	0	5	0	1	0	6	24	12	3	0	5	0	0	0.833	0.3	0.8	0	0.0		
weka.core.pmml.jaxbbindings.FieldValue	FieldValue	low	low	low	low	0	7	0	1	0	10	38	20	5	0	7	0	0	0.933	0.357	0.905	0	0.0		
weka.core.pmml.jaxbbindings.FieldValueCount	FieldValueCount	low	low	low	low	0	7	0	1	0	8	30	16	4	0	7	0	0	0.875	0.524	0.857	0	0.0		
weka.core.pmml.jaxbbindings.GAP	GAP	low-medium	low	low	low	0	5	2	2	0	5	18	9	1	3	2	1	0	1.125	0.167	0.0	0	0.0		
weka.core.pmml.jaxbbindings.GaussianDistribution	GaussianDistribution	low	low	low	low	0	5	0	1	0	6	24	12	3	0	5	0	0	0.833	0.3	0.8	0	0.0		
weka.core.pmml.jaxbbindings.GeneralRegressionModel	GeneralRegressionModel	low-medium	low	high	high	3	47	1	1	0	49	168	99	23	0	46	0	0	0.978	0.833	0.978	0	0.0		
weka.core.pmml.jaxbbindings.Header	Header	low	low	low	low-medium	2	10	0	1	0	12	45	24	6	0	10	0	0	0.926	0.65	0.911	0	0.0		
weka.core.pmml.jaxbbindings.INTERPOLATIONMETHOD	INTERPOLATIONMETHOD	low-medium	low	low	low	0	5	2	2	0	5	20	9	1	4	2	1	0	1.2	0.167	0.0	0	0.0		
weka.core.pmml.jaxbbindings.INTSparseArray	INTSparseArray	low	low	low	low	0	6	0	1	0	9	36	19	4	0	6	0	0	0.9	0.333	0.867	0	0.0		
weka.core.pmml.jaxbbindings.INVALIDVALUETREATMENTMETHOD	INVALIDVALUETREATMENTMETHOD	low-medium	low	low	low	0	5	2	2	0	5	18	9	1	3	2	1	0	1.125	0.167	0.0	0	0.0		
weka.core.pmml.jaxbbindings.InlineTable	InlineTable	low	low	low	low	0	2	0	1	0	4	19	8	2	0	2	0	0	1.0	0.0	1.0	0	0.0		
weka.core.pmml.jaxbbindings.InstanceField	InstanceField	low	low	low	low	0	5	0	1	0	6	24	12	3	0	5	0	0	0.833	0.3	0.8	0	0.0		
weka.core.pmml.jaxbbindings.InstanceFields	InstanceFields	low	low	low	low	0	2	0	1	0	4	19	8	2	0	2	0	0	1.0	0.0	1.0	0	0.0		
weka.core.pmml.jaxbbindings.Interval	Interval	low	low	low	low	0	7	0	1	0	8	30	16	4	0	7	0	0	0.875	0.524	0.857	0	0.0		
weka.core.pmml.jaxbbindings.Item	Item	low	low	low	low	0	9	0	1	0	10	36	20	5	0	9	0	0	0.9	0.519	0.889	0	0.0		
weka.core.pmml.jaxbbindings.ItemRef	ItemRef	low	low	low	low	0	3	0	1	0	4	18	8	2	0	3	0	0	0.75	0.333	0.667	0	0.0		
weka.core.pmml.jaxbbindings.Itemset	Itemset	low	low	low	low-medium	0	8	0	1	0	10	37	20	5	0	8	0	0	0.914	0.656	0.893	0	0.0		
weka.core.pmml.jaxbbindings.Jaccard	Jaccard	low	low	low	low	0	1	0	1	0	2	12	4	1	0	1	0	0	0.0	0.0	0.0	0	0.0		
weka.core.pmml.jaxbbindings.KNNInput	KNNInput	low	low	low	low-medium	1	7	0	1	0	9	33	19	4	0	7	0	0	0.875	0.643	0.857	0	0.0		
weka.core.pmml.jaxbbindings.KNNInputs	KNNInputs	low	low	low	low	0	2	0	1	0	4	19	8	2	0	2	0	0	1.0	0.0	1.0	0	0.0		
weka.core.pmml.jaxbbindings.KohonenMap	KohonenMap	low	low	low	low	0	7	0	1	0	8	30	16	4	0	7	0	0	0.875	0.286	0.857	0	0.0		
weka.core.pmml.jaxbbindings.LINKFUNCTION	LINKFUNCTION	low-medium	low	low	low	0	5	2	2	0	5	32	9	1	10	2	1	0	1.364	0.167	0.0	0	0.0		
weka.core.pmml.jaxbbindings.Level	Level	low	low	low	low	0	4	0	1	0	4	16	8	2	0	4	0	0	0.667	0.25	0.667	0	0.0		
weka.core.pmml.jaxbbindings.LiftData	LiftData	low	low	low-medium	medium-high	3	13	0	1	0	14	51	28	7	0	13	0	0	0.929	0.756	0.923	0	0.0		
weka.core.pmml.jaxbbindings.LiftGraph	LiftGraph	low	low	low	medium-high	4	9	0	1	0	10	40	20	5	0	9	0	0	0.9	0.711	0.889	0	0.0		
