QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI	Coverage	
org.apache.xerces.impl.xs.traversers.XSDGroupTraverser	XSDGroupTraverser	low	low	low-medium	low	0	0	0	0	0	0	139	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.impl.xs.traversers.XSDHandler	XSDHandler	low-medium	low	very-high	low	0	9	1	0	0	47	2374	200	9	12	9	0	0	1.057	0.444	1.0	0	0.0		
org.apache.xerces.impl.xs.traversers.XSDKeyrefTraverser	XSDKeyrefTraverser	low	low	low	low	0	0	0	0	0	0	45	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.impl.xs.traversers.XSDNotationTraverser	XSDNotationTraverser	low	low	low-medium	low	0	0	0	0	0	0	54	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.impl.xs.traversers.XSDSimpleTypeTraverser	XSDSimpleTypeTraverser	low	low	low-medium	low	0	0	0	0	0	0	261	0	1	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.impl.xs.traversers.XSDUniqueOrKeyTraverser	XSDUniqueOrKeyTraverser	low	low	low	low	0	0	0	0	0	0	30	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.impl.xs.traversers.XSDWildcardTraverser	XSDWildcardTraverser	low	low	low-medium	low	0	0	0	0	0	0	66	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.impl.xs.traversers.XSDocumentInfo	XSDocumentInfo	low	low	low-medium	low	0	3	0	0	0	3	92	8	5	0	3	0	0	0.0	0.0	0.0	0	0.0		
<Package>org.apache.xerces.impl.xs.util	org.apache.xerces.impl.xs.util	low	low	medium-high	low						54	579													
org.apache.xerces.impl.xs.util.LSInputListImpl	LSInputListImpl	low	low	low	low	0	2	1	0	0	2	35	4	1	1	2	0	0	0.0	0.0	1.0	0	0.0		
org.apache.xerces.impl.xs.util.ObjectListImpl	ObjectListImpl	low	low	low	low	0	2	1	0	0	2	45	4	1	1	2	0	0	0.0	0.0	1.0	0	0.0		
org.apache.xerces.impl.xs.util.ShortListImpl	ShortListImpl	low	low	low	low	0	5	1	0	0	9	34	16	2	1	5	0	0	0.556	0.4	0.4	0	0.0		
org.apache.xerces.impl.xs.util.SimpleLocator	SimpleLocator	low	low	low-medium	low	0	7	0	0	0	7	53	13	3	0	7	0	0	0.8	0.286	0.857	0	0.0		
org.apache.xerces.impl.xs.util.StringListImpl	StringListImpl	low	low	low-medium	low	0	2	1	0	0	2	61	4	1	1	2	0	0	0.0	0.0	1.0	0	0.0		
org.apache.xerces.impl.xs.util.XInt	XInt	low	low	low	low	0	4	0	0	0	4	12	8	1	0	4	0	0	0.0	0.5	0.0	0	0.0		
org.apache.xerces.impl.xs.util.XIntPool	XIntPool	low	low	low	low	0	0	0	0	0	0	11	0	0	1	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.impl.xs.util.XS10TypeHelper	XS10TypeHelper	low	low	low	low	0	1	0	0	0	1	9	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.impl.xs.util.XSGrammarPool	XSGrammarPool	low	low	low	low	0	0	0	0	0	0	16	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.impl.xs.util.XSInputSource	XSInputSource	low	low	low	low	0	0	0	0	0	0	19	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.impl.xs.util.XSNamedMap4Types	XSNamedMap4Types	low	low	low	low	0	1	0	0	0	6	39	17	1	0	1	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.impl.xs.util.XSNamedMapImpl	XSNamedMapImpl	low	low	low-medium	low	0	2	1	0	0	4	125	8	2	1	2	0	0	0.0	0.0	1.0	0	0.0		
org.apache.xerces.impl.xs.util.XSObjectListImpl	XSObjectListImpl	low	low	low-medium	low	0	5	1	0	0	8	120	17	1	2	5	0	0	0.778	0.0	0.5	0	0.0		
<Package>org.apache.xerces.jaxp	org.apache.xerces.jaxp	low	low	medium-high	low						43	1222													
org.apache.xerces.jaxp.DefaultValidationErrorHandler	DefaultValidationErrorHandler	low	low	low	low	0	0	0	0	0	0	20	0	1	1	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.jaxp.DocumentBuilderFactoryImpl	DocumentBuilderFactoryImpl	low	low	low-medium	low	0	2	0	0	0	2	138	4	2	0	2	0	0	1.0	0.25	0.0	0	0.0		
org.apache.xerces.jaxp.DocumentBuilderImpl	DocumentBuilderImpl	low	low	low-medium	low	0	5	0	0	0	11	174	25	0	0	5	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.jaxp.JAXPConstants	JAXPConstants	low	low	low	low	0	0	0	1	0	0	7	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
